MarketTradeFundsandSecurityAvailabilityAssuranceWorkstepReference, [Reference], [TradeClearing], 1, 1
Biometric, [BQ], [PartyAuthentication], 1, 1
BranchLocationOperationsOutcome, [entity], [BranchLocationOperations], 1, 1
ServicingIssueOutcome, [entity], [ServicingIssue], 1, 1
EmployeePayrollDetailsMaintenanceFulfillment, [BQ], [CorporatePayrollServices], 1, 1
BusinessUnitManagementPlan, [CR], [BusinessUnitManagement], 1, 1
RelationshipReciprocityAssessmentDuty, [BQ], [CorrespondentBankRelationshipManagement], 1, 1
CounterpartyDirectoryEntry, [CR], [CounterpartyAdministration], 1, 1
ProductandServiceAgreement, [CR], [SalesProduct], 1, 1
SpecialPricingConditionsDirectoryEntry, [CR], [SpecialPricingConditions], 1, 1
PublicPlacementInstrumentRegistrationFulfillment, [BQ], [PublicOffering], 1, 1
CreditCardAuthorizationAssessment, [CR], [CardAuthorization], 1, 1
Precedents, [BQ], [PartyLifecycleManagement], 1, 1
PaymentRailOperatingSessionReference, [Reference], [PaymentRailOperations], 1, 1
CounterpartyPermittedTransactionproperty, [BQ], [CounterpartyAdministration], 1, 1
AccountReconciliationProcedure, [CR], [AccountReconciliation], 1, 1
CustomerPropositionAgreementCustomerReference, [Reference], [CustomerProposition], 1, 1
DocumentServiceProcedureEmployeeReference, [Reference], [DocumentServices], 1, 1
Occupancy, [BQ], [LocationDataManagement], 1, 1
QuotationProcedureBusinessUnitReference, [Reference], [QuoteManagement], 1, 1
PaymentInstructionOutcome, [entity], [PaymentInstruction], 1, 1
CommissionsOutcome, [entity], [Commissions], 1, 1
ServiceProviderAgreementAssociatedAgreementReference, [Reference], [ProductServiceAgency], 1, 1
Status, [BQ], [PartyRoutingProfile], 1, 1
ProductionIssueResolutionWorkstepReference, [Reference], [ServicingIssue], 1, 1
Structuring, [BQ], [SyndicatedLoan], 1, 1
GeneralMarketResearchAnalysis, [CR], [MarketAnalysis], 1, 1
agreement, [entity], [AccountReconciliation; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; CustomerProposition; MerchantRelations; DocumentServices; PaymentInstruction; ContractorandSupplierAgreement; ServicingIssue; ProductServiceAgency; TradeClearing; SubCustodianAgreement; CounterpartyAdministration; CorporateAction; SecuritiesFailsProcessing], 1, 17
PaymentInitiation, [BQ], [DirectDebit], 1, 1
Restructuring, [BQ], [CreditFacility; ConsumerLoan; AccountRecovery; Loan; CorporateLoan], 1, 5
Associations, [BQ], [LegalEntityDirectory; PartyReferenceDataDirectory], 1, 2
analysis, [entity], [TradingBookOversight; CorporateFinance; ProductSalesSupport; HedgeFundAdministration; MergersandAcquisitionsAdvisory; BranchLocationOperations; BrokeredProduct; CorrespondentBankRelationshipManagement; MutualFundAdministration; UnitTrustAdministration], 1, 10
MarketTradeReportingOperatingSessionServiceProviderReference, [Reference], [TradeandPriceReporting], 1, 1
TransactionRouting, [BQ], [CardTransactionSwitch], 1, 1
MarketAssetValuationProcedureFinancialFacilityReference, [Reference], [FinancialInstrumentValuation], 1, 1
CreditRiskModelSpecification, [CR], [CreditRiskModels], 1, 1
BusinessArchitecture, [BQ], [EnterpriseArchitecture], 1, 1
CapacityPlanning, [BQ], [AdvancedVoiceServicesManagement; eBranchManagement], 1, 2
Analysis, [BQ], [CustomerCase; CustomerTaxHandling], 1, 2
AssetandLiabilityValuationTestReference, [Reference], [FinancialStatementAssessment], 1, 1
SalesProductAgreement, [CR], [SalesProductAgreement], 1, 1
SuitabilityAssessment, [CR], [SuitabilityChecking], 1, 1
QuotationProcedureCustomerReference, [Reference], [QuoteManagement], 1, 1
InformationFeedOperatingSessionAssociatedPartyReference, [Reference], [InformationProviderOperation], 1, 1
Planning, [BQ], [AccountRecovery], 1, 1
CorporateAction, [BQ], [Leasing; InvestmentAccount], 1, 2
ProductInitialization, [BQ], [CustomerOffer], 1, 1
AccountsReceivablePurchaseFulfillment, [BQ], [Factoring], 1, 1
ServicingIssueProcedureBusinessUnitReference, [Reference], [ServicingIssue], 1, 1
Selection, [BQ], [AssetSecuritization], 1, 1
NotionalPoolingFacilityCustomerReference, [Reference], [NotionalPooling], 1, 1
FundManagementRoutineReference, [Reference], [HedgeFundAdministration], 1, 1
transactiontypevalues, [Enum], [AccountReconciliation; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; BankGuarantee; DocumentServices; LetterofCredit; PaymentInstruction; StockLendingandRepos; BankDrafts; ServicingIssue; TradeClearing; CorporateAction; SecuritiesFailsProcessing], 1, 15
ProjectFinanceFacilityRegulationReference, [Reference], [ProjectFinance], 1, 1
NotionalPoolingFacilityAccountReference, [Reference], [NotionalPooling], 1, 1
ExternalReporting, [BQ], [CustomerCreditRating], 1, 1
MarketOrderInitiationFunction, [BQ], [eTradingWorkbench], 1, 1
MarketMakingOutcome, [entity], [MarketMaking], 1, 1
FinancialDocumentHandling, [BQ], [ATMNetworkOperations], 1, 1
Outbound, [BQ], [Correspondence; AdvancedVoiceServicesOperations; FinancialGateway; eBranchOperations], 1, 4
TradeMatchingOperatingSessionReference, [Reference], [TradeConfirmationMatching], 1, 1
ServiceLevelAgreementOversightDuty, [BQ], [BrokeredProduct], 1, 1
OrderConfirmation, [BQ], [PaymentOrder], 1, 1
PaperCheckProcessingFulfillment, [BQ], [ChequeLockBox], 1, 1
ServicingIssueProcedureCustomerAgreementReference, [Reference], [ServicingIssue], 1, 1
eBranchChannelManagementPlan, [CR], [eBranchManagement], 1, 1
CustomerEligibilityAssessment, [CR], [CustomerProductAndServiceEligibility], 1, 1
instructionidentification, [entity], [AccountReconciliation; IssuedDeviceAdministration; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; CustomerProposition; CorporateFinance; MerchantRelations; MergersandAcquisitionsAdvisory; DocumentServices; PaymentInstruction; ContractorandSupplierAgreement; ServicingIssue; ProductServiceAgency; SyndicateManagement; TradeClearing; SubCustodianAgreement; FinancialStatementAssessment; CorporateAction; SecuritiesFailsProcessing], 1, 21
ProductorServiceSpecification, [CR], [ProductDesign], 1, 1
address, [entity], [LocationDataManagement], 1, 1
TradeSettlementOutcome, [entity], [TradeSettlement], 1, 1
